id,album_id,amount,date,vendor_id
1,1,12.5,2020-12-26,3
2,1,14.0,2020-02-22,4
3,1,12.49,2020-03-03,2
4,1,14.49,2020-05-21,3
5,1,13.49,2020-05-20,4
6,1,12.48,2020-12-23,2
7,1,12.99,2020-03-26,3
8,1,12.49,2020-03-10,4
9,1,14.0,2020-04-05,2
10,1,14.0,2020-11-01,3
11,1,13.5,2020-08-18,4
12,1,15.0,2020-03-29,2
13,1,14.49,2020-09-16,3
14,1,13.99,2020-05-25,4
15,1,13.0,2020-12-14,2
16,1,13.24,2020-12-09,3
17,1,13.0,2020-12-25,4
18,1,14.5,2020-06-06,2
19,1,14.24,2020-04-26,3
20,1,13.5,2020-06-01,4
21,1,14.5,2020-08-04,2
22,1,13.5,2020-02-21,3
23,1,12.5,2020-05-29,4
24,1,12.49,2020-03-05,2
25,1,13.0,2020-12-19,3
26,1,15.5,2020-03-12,4
27,1,14.5,2020-12-23,2
28,1,13.49,2020-07-28,3
29,1,12.99,2020-11-17,4
30,1,13.49,2020-03-01,2
31,1,15.5,2020-08-04,3
32,1,12.49,2020-08-16,4
33,1,12.0,2020-12-17,2
34,1,12.09,2020-03-13,3
35,1,12.57,2020-07-25,4
36,1,13.99,2020-02-23,2
37,1,14.0,2020-03-06,3
38,1,12.5,2020-03-06,4
39,1,12.99,2020-03-07,2
40,1,14.95,2020-11-02,3
41,1,13.98,2020-07-25,4
42,1,12.0,2020-07-31,2
43,1,13.0,2020-05-05,3
44,1,14.49,2020-03-24,4
45,1,15.5,2020-11-10,2
46,1,12.99,2020-04-11,3
47,1,13.0,2020-02-23,4
48,1,14.0,2020-03-01,2
49,1,13.5,2020-04-14,3
50,1,15.0,2020-03-03,4
51,1,13.49,2020-09-01,2
52,1,12.99,2020-03-28,3
53,1,11.49,2020-05-07,4
54,1,12.0,2020-03-08,2
55,1,12.5,2020-11-13,3
56,1,12.0,2020-03-28,4
57,1,13.49,2020-07-02,2
58,1,14.0,2020-05-01,3
59,1,13.49,2020-11-27,4
60,1,12.1,2020-05-23,2
61,2,12.99,2017-10-10,1
62,2,11.0,2014-05-19,2
63,2,12.99,2019-06-16,3
64,2,11.67,2016-06-06,4
65,2,12.49,2014-07-14,
66,2,13.5,2016-06-22,1
67,2,12.51,2014-07-19,2
68,2,12.5,2015-11-04,3
69,2,12.0,2017-11-28,4
70,2,12.5,2019-06-13,
71,2,11.27,2017-07-18,1
72,2,11.99,2014-05-04,2
73,2,12.78,2018-06-10,3
74,2,13.0,2019-02-06,4
75,2,14.04,2015-05-15,
76,2,10.49,2020-08-10,1
77,2,11.91,2016-01-09,2
78,2,13.49,2017-09-28,3
79,2,13.0,2015-02-22,4
80,2,11.49,2016-04-18,
81,2,12.5,2019-11-03,1
82,2,11.5,2014-02-24,2
83,2,13.49,2014-12-09,3
84,2,13.5,2016-11-30,4
85,2,13.49,2014-05-17,
86,2,13.0,2018-02-28,1
87,2,12.0,2018-05-23,2
88,2,14.63,2016-10-25,3
