product_name,amount,sale_date,id
An Ag-isle Primer,21.5,2016-01-08,1
An Ag-isle Primer,21.99,2016-01-10,2
An Ag-isle Primer,24.5,2016-01-11,3
An Ag-isle Primer,20.49,2016-01-16,4
An Ag-isle Primer,22.96,2016-01-19,5
An Ag-isle Primer,20.99,2016-01-20,6
An Ag-isle Primer,20.5,2016-01-21,7
An Ag-isle Primer,20.5,2016-01-24,8
An Ag-isle Primer,20.49,2016-02-02,9
An Ag-isle Primer,19.0,2016-02-04,10
An Ag-isle Primer,20.99,2016-02-04,11
An Ag-isle Primer,21.49,2016-02-05,12
An Ag-isle Primer,19.5,2016-02-08,13
An Ag-isle Primer,17.49,2016-02-10,14
An Ag-isle Primer,22.99,2016-02-22,15
An Ag-isle Primer,19.99,2016-02-25,16
An Ag-isle Primer,18.49,2016-03-09,17
An Ag-isle Primer,19.69,2016-03-13,18
An Ag-isle Primer,23.0,2016-04-03,19
An Ag-isle Primer,18.99,2016-04-23,20
An Ag-isle Primer,21.99,2016-04-29,21
An Ag-isle Primer,20.5,2016-06-03,22
Cod-ing in Python,59.49,2016-06-04,23
Cod-ing in Python,58.97,2016-06-05,24
Cod-ing in Python,60.0,2016-06-07,25
Cod-ing in Python,61.49,2016-06-08,26
Cod-ing in Python,58.0,2016-06-09,27
Cod-ing in Python,61.49,2016-06-10,28
Cod-ing in Python,64.0,2016-06-11,29
An Ag-isle Primer,18.99,2016-06-12,30
Cod-ing in Python,54.0,2016-06-13,31
Cod-ing in Python,63.0,2016-06-14,32
An Ag-isle Primer,18.5,2016-06-14,33
Cod-ing in Python,58.49,2016-06-15,34
Sea-act Hooks,56.57,2016-06-16,35
Sea-act Hooks,54.5,2016-06-16,36
Sea-act Hooks,53.5,2016-06-16,37
Sea-act Hooks,55.5,2016-06-16,38
Sea-act Hooks,52.99,2016-06-16,39
Sea-act Hooks,55.4,2016-06-16,40
Cod-ing in Python,56.5,2016-06-16,41
Sea-act Hooks,49.5,2016-06-17,42
Cod-ing in Python,59.53,2016-06-17,43
Sea-act Hooks,56.49,2016-06-18,44
Sea-act Hooks,56.0,2016-06-18,45
Sea-act Hooks,54.5,2016-06-18,46
Cod-ing in Python,59.99,2016-06-18,47
Sea-act Hooks,57.49,2016-06-19,48
Sea-act Hooks,54.38,2016-06-19,49
Cod-ing in Python,60.18,2016-06-19,50
Sea-act Hooks,54.54,2016-06-20,51
Cod-ing in Python,61.13,2016-06-20,52
Sea-act Hooks,49.52,2016-06-21,53
Sea-act Hooks,57.49,2016-06-21,54
Sea-act Hooks,53.49,2016-06-21,55
Sea-act Hooks,52.5,2016-06-21,56
Cod-ing in Python,59.5,2016-06-21,57
Cod-ing in Python,60.5,2016-06-22,58
Sea-act Hooks,54.49,2016-06-23,59
Sea-act Hooks,50.0,2016-06-23,60
Sea-act Hooks,54.99,2016-06-23,61
Sea-act Hooks,50.49,2016-06-23,62
Cod-ing in Python,61.49,2016-06-23,63
Sea-act Hooks,52.49,2016-06-24,64
Sea-act Hooks,56.0,2016-06-25,65
Cod-ing in Python,61.0,2016-06-25,66
An Ag-isle Primer,25.91,2016-06-25,67
Sea-act Hooks,53.99,2016-06-26,68
Sea-act Hooks,58.5,2016-06-26,69
Sea-act Hooks,54.5,2016-06-26,70
Sea-act Hooks,50.5,2016-06-26,71
Cod-ing in Python,61.5,2016-06-26,72
Cod-ing in Python,56.5,2016-06-26,73
Sea-act Hooks,55.5,2016-06-27,74
Sea-act Hooks,56.0,2016-06-28,75
Sea-act Hooks,57.0,2016-06-28,76
Sea-act Hooks,52.5,2016-06-28,77
Sea-act Hooks,52.49,2016-06-29,78
Sea-act Hooks,57.99,2016-06-29,79
Sea-act Hooks,51.99,2016-06-30,80
Sea-act Hooks,54.0,2016-06-30,81
Cod-ing in Python,57.5,2016-06-30,82
Sea-act Hooks,58.46,2016-07-01,83
Cod-ing in Python,57.99,2016-07-01,84
An Ag-isle Primer,21.07,2016-07-01,85
Sea-act Hooks,54.0,2016-07-02,86
Cod-ing in Python,60.49,2016-07-02,87
Cod-ing in Python,59.5,2016-07-02,88
Sea-act Hooks,52.5,2016-07-04,89
Cod-ing in Python,58.5,2016-07-04,90
Sea-act Hooks,54.71,2016-07-05,91
Cod-ing in Python,58.49,2016-07-05,92
Sea-act Hooks,52.0,2016-07-06,93
Sea-act Hooks,56.5,2016-07-07,94
Sea-act Hooks,52.0,2016-07-07,95
Sea-act Hooks,53.13,2016-07-07,96
Sea-act Hooks,53.49,2016-07-07,97
An Ag-isle Primer,21.0,2016-07-08,98
Sea-act Hooks,52.99,2016-07-09,99
Sea-act Hooks,54.99,2016-07-09,100
Sea-act Hooks,55.5,2016-07-09,101
Cod-ing in Python,59.5,2016-07-09,102
Cod-ing in Python,62.0,2016-07-09,103
Sea-act Hooks,52.0,2016-07-10,104
Sea-act Hooks,56.49,2016-07-11,105
Sea-act Hooks,53.86,2016-07-11,106
An Ag-isle Primer,21.49,2016-07-12,107
Sea-act Hooks,54.49,2016-07-13,108
Sea-act Hooks,52.5,2016-07-13,109
Sea-act Hooks,54.49,2016-07-16,110
Sea-act Hooks,53.0,2016-07-16,111
Sea-act Hooks,53.23,2016-07-16,112
Sea-act Hooks,52.5,2016-07-17,113
Cod-ing in Python,64.0,2016-07-17,114
Cod-ing in Python,56.49,2016-07-17,115
An Ag-isle Primer,21.0,2016-07-17,116
Cod-ing in Python,61.49,2016-07-21,117
Sea-act Hooks,54.93,2016-07-22,118
Cod-ing in Python,59.99,2016-07-22,119
Sea-act Hooks,55.5,2016-07-23,120
Sea-act Hooks,51.5,2016-07-23,121
Sea-act Hooks,54.5,2016-07-23,122
Sea-act Hooks,51.49,2016-07-25,123
Sea-act Hooks,56.0,2016-07-26,124
Sea-act Hooks,52.49,2016-07-28,125
Sea-act Hooks,53.5,2016-07-28,126
Sea-act Hooks,52.5,2016-07-30,127
Sea-act Hooks,54.99,2016-07-30,128
Sea-act Hooks,52.61,2016-07-30,129
Sea-act Hooks,55.34,2016-07-30,130
Cod-ing in Python,60.99,2016-07-30,131
Sea-act Hooks,56.49,2016-07-31,132
Sea-act Hooks,55.5,2016-07-31,133
Sea-act Hooks,50.5,2016-07-31,134
Sea-act Hooks,51.99,2016-08-01,135
Sea-act Hooks,52.0,2016-08-01,136
Sea-act Hooks,56.49,2016-08-01,137
Sea-act Hooks,54.99,2016-08-03,138
Sea-act Hooks,54.5,2016-08-04,139
Sea-act Hooks,54.0,2016-08-04,140
Sea-act Hooks,60.99,2016-08-04,141
An Ag-isle Primer,17.5,2016-08-05,142
An Ag-isle Primer,19.99,2016-08-05,143
Sea-act Hooks,52.45,2016-08-06,144
